freq_rf_MHz,modulo_S11_dB,fase_S11_deg
1703.000000,-35.8394,3.2470
1704.000000,-37.8763,67.9991
1705.000000,-37.6017,71.3830
1706.000000,-34.6638,111.5380
1707.000000,-33.0548,101.2668
1708.000000,-36.2591,116.9270
1709.000000,-33.1710,107.9672
1710.000000,-32.9763,126.9743
1711.000000,16.5101,-17.3424
1712.000000,13.6029,-63.3957
1713.000000,16.0300,-56.5179
1714.000000,-35.3207,117.9617
1715.000000,-34.1869,120.7954
1716.000000,-33.7997,128.2616
1717.000000,-35.8755,130.9249
1718.000000,-34.6177,127.9325
1719.000000,-36.7695,132.2244
1720.000000,-33.4135,137.1495
1721.000000,-32.8433,118.2057
1722.000000,-33.1881,125.4209
1723.000000,-33.5629,109.9974
1724.000000,-35.5589,136.3356
1725.000000,-34.6144,133.2883
1726.000000,-34.7188,122.4614
1727.000000,-32.7665,117.3289
1728.000000,-34.8936,130.9730
1729.000000,-38.5369,122.1090
1733.000000,-31.9388,156.0894
1737.000000,-1.5792,-103.2540
1738.000000,-25.9477,103.0941
1739.000000,-37.3162,112.4792
1740.000000,-38.6666,139.1138
1741.000000,-36.4605,118.6085
1742.000000,-33.1767,110.8260
1743.000000,-31.7430,114.9747
1744.000000,-36.0120,116.8952
1745.000000,-36.0371,141.9361
1746.000000,-35.0156,137.7293
1747.000000,-33.0802,118.2312
1748.000000,-32.7252,113.7199
1749.000000,-33.5057,118.0067
1750.000000,-36.5181,127.0491
1751.000000,-33.9050,115.4999
1752.000000,-33.4894,113.1973
1753.000000,-35.5321,139.4547
1754.000000,-36.3456,130.5026
1755.000000,-35.5504,123.6231
1756.000000,-34.1829,118.5140
1757.000000,-34.2306,127.4059
1758.000000,-35.3299,128.4452
1759.000000,-31.7412,120.5934
1760.000000,-33.9211,119.0296
1761.000000,-34.6511,138.4844
1762.000000,-34.5710,121.4562
1763.000000,-33.6916,118.0147
1764.000000,-33.2017,128.9315
1765.000000,-31.7739,141.5267
1768.000000,-18.6599,123.3909
1769.000000,-33.5844,169.5014
1770.000000,-37.6416,152.3087
1773.000000,-23.6090,-133.5624
1774.000000,-33.6483,105.0988
1775.000000,-35.1342,125.1362
1776.000000,-33.9354,124.5633
1777.000000,-36.7068,123.4023
1778.000000,-36.0271,150.9307
1779.000000,-35.8940,121.2781
1780.000000,-34.7782,101.4488
1781.000000,-35.0272,111.1648
