freq_MHz,e_00_real,e_00_imag,e_11_real,e_11_imag,delta_e_real,delta_e_imag
1703.000000,4.4805148719e-02,3.9208579153e-03,5.0640719860e-02,2.8897812266e-02,-1.8522678557e-01,1.4284996845e-02
1704.000000,4.4264996547e-02,5.4797956009e-04,4.8393534572e-02,6.1222241945e-02,-1.7901719277e-01,1.6999994283e-02
1705.000000,4.6678060411e-02,1.7782678433e-03,5.6987108994e-02,1.2701692651e-01,-1.8795462700e-01,2.8773456644e-02
1706.000000,4.8443284815e-02,2.8744220760e-03,2.1293333702e-02,1.3039092474e-01,-1.9448400247e-01,2.5349953851e-02
1707.000000,4.8052456582e-02,2.5819751109e-03,2.3366357244e-02,1.2842679017e-01,-1.9553298193e-01,2.4883922502e-02
1708.000000,4.8222998171e-02,3.6614427297e-03,-1.3375369530e-02,1.3152784970e-01,-2.0202041862e-01,2.2120891275e-02
1709.000000,4.8927260034e-02,6.6719605812e-04,-2.5712627284e-02,1.3428755317e-01,-2.0405753560e-01,2.2795504324e-02
1710.000000,5.0675866119e-02,-4.3061625382e-04,-3.7696017041e-02,1.3414890239e-01,-2.0803753259e-01,2.1690539721e-02
1711.000000,5.1133192086e-02,-8.8054605481e-04,-3.8828296732e-02,1.3097995687e-01,-2.0916102824e-01,2.0750705638e-02
1712.000000,5.1405582374e-02,5.9456937218e-04,-4.1869542961e-02,1.2481245224e-01,-2.1093435770e-01,1.8809009541e-02
1713.000000,5.1484548637e-02,5.3947124874e-04,-3.8837887347e-02,1.2677452839e-01,-2.1147961105e-01,1.6425574039e-02
1714.000000,5.1479316334e-02,1.1186194760e-03,-4.1433126869e-02,1.2593549487e-01,-2.1174995971e-01,1.5343441803e-02
1715.000000,5.1766317780e-02,4.4443536063e-04,-4.2103020514e-02,1.2638668690e-01,-2.1281120663e-01,1.4298314831e-02
1716.000000,5.1711544990e-02,9.5281353570e-04,-4.2701861261e-02,1.2608382073e-01,-2.1337106393e-01,1.2334555008e-02
1717.000000,5.1770566848e-02,1.8436343041e-03,-4.2874100281e-02,1.2005251023e-01,-2.1304389783e-01,1.0230860424e-02
1718.000000,5.2036783462e-02,1.2442827329e-03,-4.5858410828e-02,1.2548471654e-01,-2.1366895733e-01,8.5223383317e-03
1719.000000,5.1868834188e-02,2.2085639150e-03,-4.3466793193e-02,1.2173313562e-01,-2.1306861534e-01,7.3719026552e-03
1720.000000,5.2111512327e-02,2.0848760970e-03,-4.6288736536e-02,1.2511018598e-01,-2.1387836296e-01,5.9441841767e-03
1721.000000,5.1429923226e-02,1.4287399955e-03,-4.2776966113e-02,1.2646435497e-01,-2.1334741128e-01,4.0145302377e-03
1722.000000,5.2250300937e-02,2.3187083277e-03,-4.4872763138e-02,1.2542390310e-01,-2.1379275070e-01,2.3301777865e-03
1723.000000,5.1212476627e-02,1.7451631338e-03,-4.1166958083e-02,1.2984408111e-01,-2.1409361516e-01,6.6739974714e-04
1724.000000,5.1593853027e-02,2.9593224568e-03,-4.2296943438e-02,1.2561955181e-01,-2.1270958217e-01,-8.0907373243e-04
1725.000000,5.1367872164e-02,2.5577039688e-03,-4.3858768302e-02,1.3044822683e-01,-2.1390275075e-01,-2.1009896002e-03
1726.000000,5.1015075158e-02,2.3527508116e-03,-4.2511464812e-02,1.3068574981e-01,-2.1345555806e-01,-2.8177931061e-03
1727.000000,5.0585404865e-02,2.3231336261e-03,-3.8263432716e-02,1.2727017987e-01,-2.1386824157e-01,-4.9077589795e-03
1728.000000,5.0547552612e-02,4.6537728702e-03,-3.5723711295e-02,1.3641384932e-01,-2.1317440287e-01,-9.0001227564e-03
1729.000000,4.9806553784e-02,4.5657506173e-03,-3.0251859621e-02,1.3413362775e-01,-2.1054711336e-01,-1.1280267316e-02
1733.000000,5.0623142729e-02,4.9997392041e-03,1.0773715989e-02,1.0310705633e-01,-2.2014757079e-01,-8.7774889001e-03
1737.000000,1.1878401384e+00,2.6357023180e-01,1.3128727532e+00,1.1045112392e+00,1.5989110510e+00,6.6732465126e-01
1738.000000,5.0006769501e-02,5.2763361996e-03,-2.9574902454e-02,4.8705439377e-02,-2.1281095821e-01,-9.8938184007e-03
1739.000000,4.9497176696e-02,9.8657749973e-03,-1.9853151185e-02,9.1808474651e-02,-2.1396465911e-01,-2.2570230703e-02
1740.000000,4.9376765060e-02,9.3484830505e-03,-2.5590108175e-02,9.8182205760e-02,-2.1308370102e-01,-2.5479909935e-02
1741.000000,4.9798422367e-02,9.4765233406e-03,-3.3287596714e-02,1.2854755265e-01,-2.1301167207e-01,-3.1916420922e-02
1742.000000,4.9160696579e-02,9.0140012164e-03,-3.2766006647e-02,1.3340279968e-01,-2.1230200450e-01,-3.3433018721e-02
1743.000000,4.9765539297e-02,8.5532864788e-03,-3.7950592807e-02,1.2820584715e-01,-2.1146561350e-01,-3.2781025859e-02
1744.000000,4.9114910326e-02,8.4432066541e-03,-3.9132377624e-02,1.2371477262e-01,-2.0985013246e-01,-3.2003302343e-02
