freq_rf_MHz,modulo_S11_dB,fase_S11_deg
1800.000000,-15.7737,13.4193
1801.000000,-15.6533,10.4200
1802.000000,-15.6734,9.1295
1804.000000,-15.5045,11.6391
1805.000000,-15.1314,-2.5090
1806.000000,-15.8151,8.3882
1807.000000,-16.1123,14.8649
1808.000000,3.4763,-7.7125
1809.000000,-8.5151,150.4364
1810.000000,-16.1268,15.8026
1811.000000,-16.7416,12.8833
1812.000000,-16.6299,9.0999
1813.000000,-16.4603,16.4544
1814.000000,-16.2784,15.7656
1815.000000,-15.5745,12.3790
1816.000000,-15.6309,12.6148
1817.000000,-15.6853,10.2079
1818.000000,-16.2413,15.1844
1819.000000,-15.8899,8.4710
1820.000000,-16.2893,15.3398
1821.000000,-15.5409,12.1133
1822.000000,-16.4368,15.5358
1823.000000,-15.5170,12.0253
1824.000000,-15.8244,15.8037
1825.000000,-15.4036,12.0359
1826.000000,-15.8235,8.1178
1827.000000,-16.6659,10.6576
1828.000000,-16.6886,8.3044
1830.000000,-16.4778,16.0828
1831.000000,-15.5464,9.4692
1832.000000,-15.5438,8.5619
1834.000000,-16.7506,12.0641
1835.000000,-16.1147,7.8227
1836.000000,-15.7845,14.1266
1837.000000,-16.0613,7.8353
1838.000000,-15.9444,7.5440
1839.000000,-15.9701,15.2379
1840.000000,-16.0790,8.2213
1841.000000,-16.6517,15.2624
1842.000000,-16.4358,15.3725
1843.000000,-16.2359,8.4963
1844.000000,-15.7339,15.1468
1845.000000,-16.5814,14.7989
1846.000000,-15.7327,13.3308
1847.000000,-15.8401,15.3065
1848.000000,-16.6580,10.7406
1849.000000,-15.7303,14.0001
1850.000000,-15.9765,16.3036
1851.000000,-15.8452,15.9038
1852.000000,-15.6590,14.7900
1853.000000,-16.4664,16.8989
1855.000000,-15.9191,17.5365
1856.000000,-16.0062,16.8695
1857.000000,-16.9284,8.1419
1859.000000,-15.6991,15.4512
1860.000000,-16.1910,16.5144
1861.000000,-16.3237,7.7947
1862.000000,-16.8617,9.6477
1863.000000,-16.4403,15.4779
1864.000000,-16.0102,8.8765
1865.000000,-16.3097,15.7408
1866.000000,-16.5840,14.4455
1867.000000,-16.6098,10.2025
1868.000000,-15.8659,9.3915
1869.000000,-16.3992,9.3649
1870.000000,-16.6352,9.5922
1871.000000,-16.6680,12.4679
1872.000000,-16.6930,11.7708
1873.000000,-15.6004,14.6932
1874.000000,-16.6625,15.1078
1875.000000,-16.8226,11.7497
1876.000000,-16.1741,15.7984
1877.000000,-16.2121,8.2440
1878.000000,-15.8746,16.4170
1879.000000,-16.3495,18.8862
1880.000000,-16.0069,8.3272
1881.000000,-15.6411,13.6943
1882.000000,-16.2544,16.7425
1883.000000,-15.2868,10.3693
1884.000000,-16.1533,9.0847
1885.000000,-15.4920,13.9425
1886.000000,-15.9087,16.4756
1887.000000,-15.9920,9.0935
1888.000000,-16.2160,18.3106
1889.000000,-15.7064,9.8612
1890.000000,-16.2686,9.3823
1891.000000,-15.5794,11.9631
1892.000000,-15.5352,10.5396
1893.000000,-15.6564,9.6298
1894.000000,-15.7445,9.5490
1895.000000,-16.2281,8.8843
1896.000000,-15.6257,15.9610
1897.000000,-15.6731,9.5744
1898.000000,-16.4659,9.5001
1899.000000,-16.4842,11.1735
1900.000000,-16.6681,12.0558
1901.000000,-15.4179,11.7211
1902.000000,-15.3307,14.0652
1903.000000,-15.7025,9.7740
1904.000000,-16.2095,18.3120
1905.000000,-15.1672,15.5336
1906.000000,-16.2568,7.6029
1907.000000,-15.6326,11.1569
1908.000000,-15.9345,8.3095
1909.000000,-16.0869,17.4745
1911.000000,-16.0201,16.3990
1912.000000,-15.9980,8.0890
1913.000000,-15.4427,14.1745
1914.000000,-15.6864,8.2598
1915.000000,-15.6400,16.9045
1916.000000,-15.6235,9.7464
1917.000000,-16.5396,15.3535
1918.000000,-15.4900,10.1405
1919.000000,-16.2694,17.0821
1920.000000,-16.2003,17.0770
1921.000000,-15.7708,9.8219
1922.000000,-16.5979,13.3373
1923.000000,-16.1357,9.5409
1924.000000,-16.3090,16.1710
1925.000000,-15.3982,13.8861
1926.000000,-16.4089,11.2319
1927.000000,-16.0287,9.6382
1928.000000,-15.7561,16.4021
1929.000000,-15.5521,16.5043
1930.000000,-16.4298,13.7103
1931.000000,-15.6127,10.2446
1932.000000,-16.3883,10.4758
1933.000000,-15.8385,16.8579
1934.000000,-16.4429,14.5434
1935.000000,-16.6891,15.9131
1936.000000,-16.7231,10.9142
1938.000000,-15.7605,16.9263
1939.000000,-16.4968,13.5230
1940.000000,-16.2566,16.9476
1941.000000,-16.5880,11.9713
1942.000000,-15.9399,9.2547
1943.000000,-16.0714,8.9931
1944.000000,-15.6294,9.6585
1945.000000,-16.1752,9.9150
1946.000000,-15.8301,16.2657
1947.000000,-15.6568,8.6441
1948.000000,-16.4376,10.6454
1949.000000,-15.4621,9.4997
1950.000000,-16.3906,14.7824
1951.000000,-16.4978,10.2259
1952.000000,-16.4383,12.4878
1953.000000,-15.8123,9.1067
1954.000000,-15.5206,10.3932
1955.000000,-16.0864,15.5499
1956.000000,-16.1527,9.1554
1957.000000,-15.5108,9.5744
1958.000000,-15.6120,15.5103
1959.000000,-16.1534,16.1391
1960.000000,-15.7052,31.2706
1961.000000,-15.5294,10.5759
1962.000000,-16.4708,14.6493
1963.000000,-16.5088,9.1219
1964.000000,-15.5123,16.2706
1965.000000,1.5537,4.7256
1966.000000,-16.6223,12.9271
1967.000000,-15.6962,14.7969
1968.000000,-15.6868,10.5866
1969.000000,-16.3634,8.3221
1970.000000,-16.3393,16.2320
1971.000000,-16.6029,13.7530
1972.000000,-16.3588,8.4593
1973.000000,-15.6149,15.5367
1974.000000,-16.5113,10.6051
1975.000000,-15.7788,8.8575
1976.000000,-15.9018,15.2515
1977.000000,-15.4513,11.9467
1978.000000,-16.0865,15.7787
1979.000000,-15.6531,10.5256
1980.000000,-15.5433,12.0413
1981.000000,-15.4587,13.1499
1982.000000,-15.8344,10.0326
1983.000000,-16.2750,9.4448
1984.000000,-15.5422,12.6175
1985.000000,-15.8554,16.3631
1986.000000,-16.3687,14.8348
1987.000000,-16.6218,13.9611
1988.000000,-16.8116,13.3590
1989.000000,-16.4185,10.8682
1990.000000,-15.4461,10.5788
1991.000000,-15.4599,9.2376
1992.000000,-15.5731,9.9551
1993.000000,-16.4857,9.3096
1994.000000,-16.3421,11.1006
1995.000000,-15.6844,10.2179
1996.000000,-15.6716,13.6515
1997.000000,-15.9801,8.7552
1998.000000,-16.5695,14.7483
1999.000000,-15.5177,12.4563
2000.000000,-16.0385,8.6940
2001.000000,-15.6838,11.1661
2002.000000,-16.4543,13.7389
2003.000000,-15.5945,10.7008
2004.000000,-16.3972,11.3059
2005.000000,-15.8514,16.0878
2006.000000,-16.1955,9.3947
2007.000000,-15.7083,11.3223
2008.000000,-15.8134,14.8212
2009.000000,-15.6322,10.1189
2010.000000,-15.8773,10.1914
2011.000000,-16.0381,15.1389
2012.000000,-16.1487,15.7832
2013.000000,-15.9881,15.2413
2014.000000,-16.5296,13.4369
2015.000000,-16.5854,12.6483
2016.000000,-15.9715,10.1724
2017.000000,-15.6952,8.7719
2019.000000,-15.7428,8.8866
2020.000000,-16.0721,15.6274
2021.000000,-16.2502,10.2308
2022.000000,-15.9762,16.6593
2023.000000,-15.4852,11.4434
2024.000000,-15.8723,9.6531
2025.000000,-16.1671,9.1918
2026.000000,-16.2028,9.8064
2027.000000,-15.9461,16.1530
2028.000000,-15.9479,15.3234
2029.000000,-15.7912,15.1791
2030.000000,-15.9563,10.1142
2031.000000,-15.7191,14.2209
2032.000000,-15.6655,15.0709
2033.000000,-16.0352,7.6601
2034.000000,-16.5735,15.3022
2035.000000,-16.5486,15.5761
2036.000000,-16.2284,9.0779
2037.000000,-16.5563,10.2228
2038.000000,-15.9182,15.4617
2039.000000,-16.3812,8.0947
2040.000000,-16.5245,14.6924
2041.000000,-16.4043,16.4276
2042.000000,-16.5767,16.3379
2043.000000,-16.7315,15.7519
2044.000000,-16.1239,17.2565
2045.000000,-15.8905,16.0785
2046.000000,-16.5165,10.4761
2047.000000,-16.2083,18.4113
2048.000000,-15.7518,8.7265
2049.000000,-15.3222,13.9945
2050.000000,-16.3437,14.4375
2051.000000,-15.2405,12.2527
2052.000000,-15.6361,18.3046
2053.000000,-15.5190,11.4685
2054.000000,-16.6082,12.1239
2055.000000,-16.1913,9.5964
2056.000000,-15.5371,10.5573
2057.000000,-15.5023,14.1579
2058.000000,-16.6737,9.8379
2059.000000,-15.9260,17.3085
2060.000000,-15.7592,12.8189
2061.000000,-15.6898,10.9127
2062.000000,-15.8366,10.6464
2063.000000,-16.8025,13.6269
2064.000000,-16.0571,16.3016
2065.000000,-15.7276,11.4264
2066.000000,-15.9008,17.0405
2067.000000,-15.7256,14.0591
2068.000000,-16.0115,11.0630
2069.000000,-15.8934,16.7927
2070.000000,-16.6058,16.6177
2071.000000,-16.2360,17.3649
2072.000000,-16.9221,14.3324
2073.000000,-16.0618,10.1426
2074.000000,-15.8952,18.0037
2075.000000,-16.0194,9.6647
2076.000000,-16.8951,11.8194
