freq_rf_MHz,modulo_S11_dB,fase_S11_deg
1800.000000,-4.4060,-52.7247
1801.000000,-4.1493,-51.4792
1802.000000,-4.0294,-50.5167
1804.000000,-3.8796,-48.5267
1805.000000,-2.6918,-29.6093
1806.000000,-3.7035,-46.9625
1807.000000,-3.9014,-46.9287
1808.000000,3.3534,21.0777
1810.000000,-7.0247,147.7252
1811.000000,-4.0646,-40.8809
1812.000000,-3.9167,-40.7712
1813.000000,-3.8306,-40.0619
1814.000000,-3.9068,-38.4027
1815.000000,-3.9902,-38.1570
1816.000000,-3.6173,-35.2484
1817.000000,-3.6465,-33.9709
1818.000000,-3.6264,-33.0388
1819.000000,-3.7386,-33.2027
1820.000000,-3.4926,-31.2673
1821.000000,-3.8100,-31.4111
1822.000000,-3.5964,-28.3736
1823.000000,-3.7858,-28.7778
1824.000000,-3.4962,-26.2819
1825.000000,-3.5830,-25.3537
1826.000000,-3.3741,-25.2006
1827.000000,-3.4315,-24.6500
1828.000000,-3.3807,-24.5578
1830.000000,-3.3338,-20.9933
1831.000000,-3.6465,-21.0792
1832.000000,-3.3303,-20.2767
1834.000000,-3.0776,-17.5851
1835.000000,-3.4733,-17.7119
1836.000000,-3.3454,-16.6511
1837.000000,-3.4444,-14.1555
1838.000000,-3.3430,-14.3437
1839.000000,-3.1747,-13.8268
1840.000000,-3.4076,-12.1844
1841.000000,-3.1524,-11.3888
1842.000000,-3.4679,-9.4866
1843.000000,-3.3084,-9.4596
1844.000000,-3.1214,-8.4873
1845.000000,-3.2127,-6.6668
1846.000000,-3.4218,-6.1202
1847.000000,-3.3370,-4.6131
1848.000000,-3.3200,-3.1105
1849.000000,-3.3023,-2.7800
1850.000000,-3.2994,-2.1772
1851.000000,-3.2932,-0.0359
1852.000000,-3.2026,-0.1637
1853.000000,-3.1657,1.1904
1855.000000,-3.3147,5.0638
1856.000000,-3.2675,4.7530
1857.000000,-3.2967,6.3952
1859.000000,-3.4394,5.7538
1860.000000,-3.1423,9.0136
1861.000000,-3.2109,10.2465
1862.000000,-3.3988,8.9990
1863.000000,-3.4812,10.1927
1864.000000,-3.1347,12.6323
1865.000000,-3.2762,13.3555
1866.000000,-3.1860,15.1966
1867.000000,-3.2772,15.7412
1868.000000,-3.4171,16.7797
1869.000000,-3.3493,16.9393
1870.000000,-3.3248,19.2456
1871.000000,-3.4966,20.1207
1872.000000,-3.2819,21.5080
1873.000000,-3.3532,22.8645
1874.000000,-3.2639,23.5294
1875.000000,-3.3656,24.4567
1876.000000,-3.3869,24.6645
1877.000000,-3.1396,26.6512
1878.000000,-3.5288,26.6507
1879.000000,-3.0892,29.0984
1880.000000,-0.4841,41.9286
1881.000000,-3.5268,29.8392
1882.000000,-3.3389,30.5330
1883.000000,-3.3054,33.2234
1884.000000,1.3103,12.5900
1885.000000,-3.3374,34.7506
1886.000000,-3.1167,35.2670
1887.000000,-3.0950,37.7020
1888.000000,-3.4448,37.7348
1889.000000,-3.1691,41.0873
1890.000000,-3.3200,40.2613
1891.000000,-3.4753,42.0420
1892.000000,-3.3411,42.8141
1893.000000,-3.1170,43.3597
1894.000000,-3.2983,45.1018
1895.000000,-3.2051,46.8506
1896.000000,-3.4991,47.6861
1897.000000,-2.8637,49.0266
1898.000000,-3.1666,48.9435
1899.000000,-3.3519,51.5385
1900.000000,-3.2662,53.5292
1901.000000,-3.3627,54.4270
1902.000000,-3.0485,52.6633
1903.000000,-2.9670,54.9858
1904.000000,-3.3035,55.1988
1905.000000,-2.9177,59.4452
1906.000000,-0.4819,57.7492
1907.000000,-3.7131,59.1716
1908.000000,-3.6585,60.7778
1909.000000,-3.7560,62.0269
1911.000000,-3.5147,66.9636
1912.000000,-3.2515,64.8438
1913.000000,-3.5731,64.6969
1914.000000,-3.2731,66.4595
1915.000000,-3.4908,67.0651
1916.000000,-3.1111,69.8920
1917.000000,-3.5059,68.9733
1918.000000,-3.2977,72.5255
1919.000000,-3.1883,71.2706
1920.000000,-3.2485,75.8002
1921.000000,-3.1468,76.0044
1922.000000,-3.4883,75.9474
1923.000000,-3.4451,79.1045
1924.000000,-3.5274,78.4440
1925.000000,-3.2069,81.5080
1926.000000,-3.3418,79.4462
1927.000000,-3.6662,82.8847
1928.000000,-3.7079,83.4117
1929.000000,-3.2844,83.3800
1930.000000,-3.5299,84.3452
1931.000000,-3.6597,87.6074
1932.000000,-4.0958,86.4126
1933.000000,-2.6063,89.6629
1934.000000,-4.0496,90.9299
1935.000000,-4.2288,93.5991
1936.000000,-4.2604,95.1412
1938.000000,-4.7060,97.6883
1939.000000,-4.2547,96.6057
1940.000000,-4.4361,100.3313
1941.000000,-4.4056,100.6207
1942.000000,-4.5862,102.5202
1943.000000,-5.0742,102.5310
1944.000000,-4.9316,104.5238
1945.000000,-5.1035,105.0081
1946.000000,-5.0133,107.8372
1947.000000,-4.8717,107.5892
1948.000000,-5.1555,108.5861
1949.000000,-5.1949,111.6361
1950.000000,-5.3043,111.6373
1951.000000,-5.2165,115.6452
1952.000000,-5.5608,117.2791
1953.000000,-5.4562,119.3394
1954.000000,-5.7247,119.1303
1955.000000,-5.7709,119.4114
1956.000000,-5.3551,122.8745
1957.000000,-6.0163,125.2708
1958.000000,-5.9177,125.1377
1959.000000,-5.7768,126.9230
1960.000000,-5.6231,129.8307
1961.000000,-5.9200,133.4054
1962.000000,-6.1200,131.7634
1963.000000,-5.8255,136.5053
1964.000000,-6.1142,138.0188
1965.000000,-3.4077,128.1351
1966.000000,2.7397,-1.3015
1967.000000,-6.0228,143.4727
1968.000000,-5.9829,142.0086
1969.000000,-6.3321,145.1842
1970.000000,-6.3042,148.0959
1971.000000,-6.2183,149.0965
1972.000000,-6.2156,152.1558
1973.000000,-6.5608,152.8928
1974.000000,-6.4231,154.0144
1975.000000,-6.5412,157.6622
1976.000000,-6.7647,157.9821
1977.000000,-6.5062,158.0978
1978.000000,-6.7551,159.5988
1979.000000,-6.7254,161.7277
1980.000000,-6.9596,165.5768
1981.000000,-7.0370,165.2667
1982.000000,-6.9764,167.6472
1983.000000,-7.1110,171.2967
1984.000000,-7.0376,172.5438
1985.000000,-7.1671,173.7465
1986.000000,-7.0808,175.0035
1987.000000,-7.0866,176.9037
1988.000000,-7.0538,178.7155
1989.000000,-7.6204,-176.3555
1990.000000,-7.2254,-177.3762
1991.000000,-7.6311,-176.1921
1992.000000,-7.4848,-172.9049
1993.000000,-7.7452,-171.8233
1994.000000,-2.7606,-28.3196
1995.000000,-7.2828,-166.7286
1996.000000,-7.5837,-164.0527
1997.000000,-7.9054,-164.2299
1998.000000,-7.7199,-161.1451
1999.000000,-7.6439,-159.8031
2000.000000,-7.9697,-157.5609
2001.000000,-7.7596,-155.5239
2002.000000,-7.9846,-152.4814
2003.000000,-7.9982,-153.4121
2004.000000,-8.1573,-149.4763
2005.000000,-7.8901,-148.5061
2006.000000,-8.2430,-146.4134
2007.000000,-8.0410,-143.6860
2008.000000,-8.4530,-141.3445
2009.000000,-8.3991,-141.5607
2010.000000,-8.3085,-136.9302
2011.000000,-8.3474,-134.3042
2012.000000,-8.4196,-135.7054
2013.000000,-8.5716,-133.0955
2014.000000,-8.7062,-131.2860
2015.000000,-8.3609,-128.6280
2016.000000,-8.3966,-127.1508
2017.000000,-8.3412,-121.7046
2019.000000,-8.4761,-119.2133
2020.000000,-8.2107,-116.3819
2021.000000,-8.6557,-116.6446
2022.000000,-8.1271,-112.7910
2023.000000,-2.8907,-84.6632
2024.000000,-8.5549,-108.0058
2025.000000,-8.3316,-106.2467
2026.000000,-8.4983,-104.1240
2027.000000,-8.3916,-101.8323
2028.000000,-8.9195,-99.2710
2029.000000,-8.9933,-97.0286
2030.000000,-8.9902,-95.1788
2031.000000,-8.5744,-91.9244
2032.000000,-9.0406,-88.6872
2033.000000,-9.0429,-87.5342
2034.000000,-8.6358,-86.1830
2035.000000,-8.9895,-85.1150
2036.000000,-8.9934,-83.2839
2037.000000,-8.5181,-79.7303
2038.000000,-8.5149,-79.1879
2039.000000,-9.0226,-75.0326
2040.000000,-8.5107,-75.4361
2041.000000,-8.6355,-74.5173
2042.000000,-8.8631,-71.1677
2043.000000,-8.6877,-69.6865
2044.000000,-8.6889,-69.0300
2045.000000,-8.5507,-66.4292
2046.000000,-8.4787,-63.6169
2047.000000,-7.9505,-65.3247
2048.000000,-13.3731,-43.5677
2049.000000,-7.8508,-62.8475
2050.000000,-8.2313,-60.1090
2051.000000,-8.2853,-63.0898
2052.000000,-8.0685,-57.9266
2053.000000,-7.1606,-102.5206
2054.000000,-8.0084,-54.1923
2055.000000,-8.0332,-55.1207
2056.000000,-7.9131,-52.5852
2057.000000,-7.9182,-49.6890
2058.000000,-8.1361,-47.8394
2059.000000,-8.1086,-48.1340
2060.000000,-8.2647,-42.4867
2061.000000,-8.1801,-41.6632
2062.000000,-7.9503,-41.3103
2063.000000,-8.0733,-39.3021
2064.000000,-8.3600,-39.9323
2065.000000,-8.6018,-35.4073
2066.000000,-8.0337,-34.5709
2067.000000,-8.4563,-32.5233
2068.000000,-8.4094,-30.5648
2069.000000,-8.3733,-30.5985
2070.000000,-8.6737,-27.3024
2071.000000,-9.0239,-29.1063
2072.000000,-9.1241,-26.2828
2073.000000,-9.3290,-27.0020
2074.000000,-8.8071,-24.8388
2075.000000,-9.3008,-20.1250
2076.000000,-9.0818,-22.7800
2077.000000,-9.7944,-21.5360
2078.000000,-9.8016,-15.0587
2079.000000,-9.4272,-14.7537
2080.000000,-10.6341,-11.3890
2081.000000,-10.2443,-13.3113
2082.000000,-10.0356,-11.3430
2083.000000,-10.4703,-6.4109
2084.000000,-10.6904,-3.9730
2085.000000,-10.9725,-100.5020
2086.000000,-11.0075,-1.0064
2087.000000,-10.9337,2.4139
2088.000000,-10.7121,2.1939
2089.000000,-10.8096,6.4966
2090.000000,-10.7296,8.6502
2091.000000,-11.4938,9.3644
2092.000000,-11.2677,14.7251
2093.000000,-11.6950,13.2836
2094.000000,-11.5266,18.4923
2095.000000,-11.4039,18.4350
2096.000000,-12.1022,22.3544
2097.000000,-11.6807,26.6396
2098.000000,-12.1147,26.7914
2099.000000,-12.2823,28.5741
2100.000000,-12.0422,33.0217
2101.000000,-12.1992,36.3056
2102.000000,-11.8195,34.5676
2103.000000,-11.7903,36.8649
2104.000000,-12.5526,41.1699
2105.000000,-12.1749,40.7969
2106.000000,-12.0833,46.3050
2107.000000,-12.9960,46.0237
2108.000000,-12.2842,47.3111
2109.000000,-13.2173,50.0505
2110.000000,-13.2487,54.5546
2111.000000,-12.9518,58.7028
2112.000000,-13.1792,54.0882
2113.000000,-13.1212,59.1136
2114.000000,-13.3047,65.5590
2115.000000,-13.5210,63.4724
2116.000000,-13.7371,65.0453
2117.000000,-14.9133,70.8287
2118.000000,-14.0645,71.5713
2119.000000,-13.9884,80.1683
2120.000000,-14.2135,78.1214
2121.000000,-14.4490,80.6378
2122.000000,-13.9490,84.9208
2123.000000,-14.9161,92.9188
2124.000000,-15.0249,93.6295
2125.000000,-14.3705,93.2403
2126.000000,-14.4694,96.8142
2127.000000,-14.3193,107.3529
2128.000000,-14.4124,104.2930
2129.000000,-14.3289,113.4762
2130.000000,-15.2017,114.9703
2131.000000,-14.2228,118.3808
2132.000000,-14.7269,119.3643
2133.000000,-14.0743,125.2798
2134.000000,-14.9623,131.4856
2135.000000,-13.9296,133.8833
2136.000000,-14.8199,140.3701
2137.000000,-14.3388,139.8020
2138.000000,-13.7236,143.8294
2139.000000,-14.0533,147.6548
2140.000000,-13.1707,153.1482
2141.000000,-13.6140,160.1673
2142.000000,-13.1785,158.6234
2143.000000,-12.7338,161.3412
2144.000000,-12.4314,165.3021
2145.000000,-22.8621,149.1774
2146.000000,-12.2939,175.4960
2147.000000,-11.6955,174.8282
2148.000000,-12.0855,176.9952
2149.000000,-11.3222,-177.5926
2151.000000,-11.6064,-174.5265
2152.000000,-10.8205,-170.5039
2153.000000,-10.8126,-172.5553
2154.000000,-10.7572,-168.0864
2155.000000,-10.5506,-165.5744
2156.000000,-10.1092,-165.9985
2157.000000,-9.5867,-162.1932
2159.000000,-9.4714,-159.6807
2160.000000,-6.6270,37.4432
2161.000000,-9.3465,-155.3972
2162.000000,-9.2743,-152.2893
2163.000000,-8.8864,-152.8598
2164.000000,-8.7593,-151.2201
2165.000000,-8.6129,-147.0161
2167.000000,-8.3490,-143.8462
2168.000000,-8.3221,-141.8431
2169.000000,-20.7382,56.3392
2170.000000,-8.2009,-139.2848
2171.000000,-7.9699,-137.4278
2172.000000,-8.1566,-136.5775
2173.000000,-7.6177,-135.8266
2174.000000,-7.9087,-135.3217
2175.000000,-7.5907,-130.8000
2176.000000,-7.7235,-128.8712
2177.000000,-7.1996,-131.1723
2178.000000,-7.4232,-126.6789
2179.000000,-7.3532,-121.4072
2180.000000,-7.5680,-120.3255
2181.000000,-6.9905,-119.1975
2182.000000,-7.2621,-118.8248
2183.000000,-7.3229,-114.5661
2184.000000,1.7907,-27.4620
2185.000000,-7.3440,-113.2406
2186.000000,-7.4381,-111.7736
2187.000000,-7.0048,-109.3020
2188.000000,-6.8833,-110.0574
2189.000000,-6.9980,-107.1884
2191.000000,-6.9209,-106.2059
2192.000000,-6.6365,-104.3775
2193.000000,-6.8223,-103.1562
2194.000000,-12.4330,-97.8750
2195.000000,-6.9573,-98.0383
2196.000000,-6.7215,-96.1991
2197.000000,-6.5478,-97.2965
2198.000000,-4.9728,-76.9992
2199.000000,-6.7145,-92.5930
2200.000000,-6.8734,-66.4699
