freq_rf_MHz,modulo_S11_dB,fase_S11_deg
100.000000,1.0061,-7.6288
101.000000,3.2813,0.7402
102.000000,4.4040,-5.4991
103.000000,1.3731,-16.9156
104.000000,1.4753,1.1362
105.000000,5.1838,24.8485
106.000000,0.4494,-13.8354
107.000000,3.4466,-8.1456
108.000000,1.7174,-12.8367
109.000000,4.6067,-22.9466
110.000000,1.7652,-18.0111
111.000000,2.0170,-7.7721
112.000000,2.0630,7.5628
113.000000,3.7371,-21.6520
114.000000,5.3180,-19.8106
115.000000,1.2737,-21.1976
116.000000,2.4316,6.2901
117.000000,2.6771,-2.1869
118.000000,-3.0639,-15.1733
119.000000,1.0152,-0.0021
120.000000,1.1935,3.4806
121.000000,1.8581,-14.5657
122.000000,3.2223,-30.3141
123.000000,0.6648,-1.0094
124.000000,-0.2982,7.5065
125.000000,3.5584,-6.4324
126.000000,-0.3911,-17.2643
127.000000,0.6277,-0.6886
128.000000,2.4359,9.3134
129.000000,5.6624,-7.1885
130.000000,-13.0981,-34.5238
131.000000,-13.1255,-35.1649
132.000000,2.6688,-16.6452
133.000000,-13.0985,-36.4878
134.000000,-13.0408,-36.6274
135.000000,-13.1435,-37.8294
136.000000,-13.0094,-37.9351
137.000000,-12.9139,-38.2928
138.000000,-12.9351,-38.9278
139.000000,-12.9663,-39.5687
140.000000,2.1746,4.3291
141.000000,-12.9209,-40.3870
142.000000,-12.8942,-40.8138
143.000000,-12.9220,-41.4579
144.000000,-12.8734,-42.1762
145.000000,-12.8379,-42.4615
146.000000,-12.8339,-42.9783
147.000000,-12.8561,-43.5198
148.000000,-12.8166,-43.7635
149.000000,-12.8147,-44.6323
150.000000,-12.7668,-45.2108
151.000000,-12.5890,-45.5982
152.000000,-12.7181,-46.3815
153.000000,-12.7457,-46.7402
154.000000,-17.3477,-94.6929
155.000000,-12.7088,-47.6881
156.000000,-12.6735,-48.2251
157.000000,-10.8685,-14.6121
158.000000,-12.6523,-49.4625
159.000000,-12.6472,-49.9726
