paso,freq_rf_MHz,freq_audio_ref_Hz,modulo_ref_dB,freq_audio_medido_Hz,modulo_medido_dB
1,1700.000,996.6,23.74,996.6,11.38
2,1705.000,1000.0,25.96,1000.0,13.68
3,1710.000,1000.0,26.44,1000.0,14.30
4,1715.000,1000.0,26.40,1000.0,14.39
5,1720.000,1000.0,26.51,1000.0,14.53
6,1725.000,1000.0,26.41,1000.0,14.44
7,1730.000,1000.0,24.80,1000.0,12.76
8,1735.000,996.6,-29.92,1003.3,-38.55
9,1740.000,1000.0,26.60,1000.0,14.85
10,1745.000,1000.0,26.30,1000.0,14.25
11,1750.000,1000.0,26.50,1000.0,14.41
12,1755.000,1000.0,26.47,1000.0,14.36
13,1760.000,1000.0,26.40,1000.0,14.30
14,1765.000,996.6,24.27,996.6,12.61
15,1770.000,996.6,23.22,996.6,12.32
16,1775.000,1000.0,25.88,1000.0,14.44
17,1780.000,1000.0,25.78,1000.0,14.01
18,1785.000,1000.0,26.39,1000.0,14.29
19,1790.000,1000.0,26.43,1000.0,14.22
20,1795.000,1000.0,26.36,1000.0,14.08
21,1800.000,1000.0,25.58,1000.0,13.44
22,1805.000,996.6,20.02,996.6,6.62
23,1810.000,1000.0,-32.91,1020.1,-35.84
24,1815.000,1000.0,20.32,1000.0,11.05
25,1820.000,1000.0,26.43,1000.0,13.84
26,1825.000,1000.0,26.22,1000.0,13.88
27,1830.000,1010.0,3.01,1016.7,-7.78
28,1835.000,1060.2,19.04,1000.0,7.10
29,1840.000,1000.0,25.75,1000.0,13.56
30,1845.000,1000.0,26.45,1000.0,13.73
31,1850.000,1000.0,26.44,1000.0,13.60
32,1855.000,993.3,2.95,993.3,-8.66
33,1860.000,1000.0,25.24,1000.0,14.20
34,1865.000,1000.0,25.08,1000.0,12.99
35,1870.000,1000.0,26.53,1000.0,13.57
36,1875.000,1000.0,26.53,1000.0,13.65
37,1880.000,1000.0,24.58,996.6,8.65
38,1885.000,1000.0,25.43,1000.0,14.35
39,1890.000,1000.0,24.92,1000.0,12.72
40,1895.000,1000.0,26.56,1000.0,13.70
41,1900.000,1000.0,26.49,1000.0,13.82
42,1905.000,1000.0,25.87,1000.0,12.28
43,1910.000,1000.0,24.89,1000.0,12.78
44,1915.000,1000.0,24.51,1000.0,13.30
45,1920.000,1000.0,26.45,1000.0,13.59
46,1925.000,1000.0,26.56,1000.0,13.41
47,1930.000,1000.0,25.91,1000.0,13.40
48,1935.000,1000.0,25.56,1000.0,12.82
49,1940.000,1000.0,27.20,1000.0,11.51
50,1945.000,1000.0,26.55,1000.0,12.79
51,1950.000,1000.0,26.60,1000.0,12.98
52,1955.000,1000.0,26.59,1000.0,12.91
53,1960.000,996.6,22.06,1000.0,11.03
54,1965.000,1003.3,23.22,1003.3,11.72
55,1970.000,1000.0,26.96,1000.0,9.74
56,1975.000,1000.0,26.74,1000.0,12.67
57,1980.000,1000.0,26.83,1000.0,12.61
58,1985.000,1000.0,26.62,1000.0,12.74
59,1990.000,1000.0,8.06,993.3,-11.28
60,1995.000,1000.0,26.58,1000.0,12.47
61,2000.000,1000.0,27.03,1000.0,12.22
62,2005.000,1000.0,26.86,1000.0,12.51
63,2010.000,1000.0,26.94,1000.0,12.58
64,2015.000,1000.0,27.06,1000.0,12.21
65,2020.000,1000.0,26.23,1000.0,12.26
66,2025.000,1000.0,26.02,1000.0,13.16
67,2030.000,1000.0,27.07,1000.0,12.40
68,2035.000,1000.0,27.13,1000.0,12.44
69,2040.000,1000.0,27.06,1000.0,12.40
70,2045.000,1000.0,27.34,1000.0,12.13
71,2050.000,1000.0,26.95,1000.0,12.19
72,2055.000,1000.0,26.88,1000.0,11.95
73,2060.000,1000.0,26.81,1000.0,12.54
74,2065.000,1000.0,27.32,1000.0,12.38
75,2070.000,1000.0,27.33,1000.0,12.27
76,2075.000,1000.0,27.15,1000.0,12.07
77,2080.000,996.6,21.96,996.6,8.40
78,2085.000,1000.0,21.87,1000.0,9.44
79,2090.000,1000.0,26.34,1000.0,11.94
80,2095.000,1000.0,27.21,1000.0,11.98
81,2100.000,1000.0,27.20,1000.0,11.82
82,2105.000,1000.0,26.95,1000.0,11.46
83,2110.000,1000.0,26.12,1000.0,10.63
84,2115.000,1000.0,26.15,1000.0,10.12
85,2120.000,996.6,22.18,1000.0,6.96
86,2125.000,1000.0,26.37,1000.0,10.89
87,2130.000,1000.0,26.74,1000.0,11.16
88,2135.000,1000.0,26.65,1000.0,10.99
89,2140.000,1000.0,26.45,1000.0,10.70
90,2145.000,996.6,24.64,996.6,8.89
91,2150.000,1000.0,8.30,1000.0,-7.04
92,2155.000,1000.0,25.91,1000.0,10.23
93,2160.000,1000.0,26.71,1000.0,10.90
94,2165.000,1000.0,26.81,1000.0,11.02
95,2170.000,1000.0,26.72,1000.0,10.93
96,2175.000,1000.0,26.65,1000.0,10.98
97,2180.000,1000.0,25.47,1000.0,9.70
98,2185.000,1046.8,-42.01,996.6,-36.76
99,2190.000,1000.0,-15.72,1003.3,-29.21
100,2195.000,1000.0,26.87,1000.0,11.16
101,2200.000,1003.3,-31.43,1006.7,-36.50
102,2205.000,1003.3,14.21,1003.3,-2.29
103,2210.000,1000.0,8.74,1003.3,-11.59
104,2215.000,1000.0,27.81,1000.0,11.68
105,2220.000,1000.0,27.89,1000.0,11.89
106,2225.000,1003.3,-11.93,1003.3,-20.78
107,2230.000,1000.0,28.03,1000.0,12.06
108,2235.000,996.6,23.91,996.6,7.85
109,2240.000,1000.0,-24.28,1003.3,-31.84
110,2245.000,1000.0,11.01,1000.0,-12.61
111,2250.000,1000.0,3.40,1003.3,-20.63
112,2255.000,1000.0,27.69,1000.0,11.12
113,2260.000,1000.0,27.99,1000.0,11.76
114,2265.000,996.6,-12.25,996.6,-33.46
115,2270.000,1000.0,27.88,1000.0,12.01
116,2275.000,1000.0,27.50,1000.0,12.18
117,2280.000,1000.0,18.10,996.6,6.94
118,2285.000,1003.3,-38.06,1003.3,-35.23
119,2290.000,1000.0,7.19,1000.0,-18.59
120,2295.000,1000.0,25.81,1000.0,12.20
121,2300.000,1000.0,27.58,1000.0,12.34
