paso,freq_rf_MHz,freq_audio_ref_Hz,modulo_ref_dB,freq_audio_medido_Hz,modulo_medido_dB
1,1700.000,996.6,-27.54,996.6,-31.43
2,1705.000,1000.0,26.32,1000.0,14.05
3,1710.000,1000.0,26.86,1000.0,14.74
4,1715.000,1000.0,26.94,1000.0,15.00
5,1720.000,1000.0,27.04,1000.0,15.05
6,1725.000,1000.0,27.05,1000.0,15.05
7,1730.000,1003.3,11.65,1003.3,0.44
8,1735.000,1083.6,-43.45,1003.3,-38.91
9,1740.000,1000.0,27.73,1000.0,15.93
10,1745.000,1000.0,26.83,1000.0,14.75
11,1750.000,1000.0,26.95,1000.0,14.86
12,1755.000,1000.0,27.00,1000.0,14.88
13,1760.000,1000.0,27.03,1000.0,14.93
14,1765.000,1000.0,25.34,1000.0,12.85
15,1770.000,1000.0,25.72,1000.0,13.48
16,1775.000,1000.0,27.03,1000.0,15.33
17,1780.000,1000.0,26.59,1000.0,14.68
18,1785.000,1000.0,26.83,1000.0,14.71
19,1790.000,1000.0,26.91,1000.0,14.70
20,1795.000,1000.0,26.77,1000.0,14.63
21,1800.000,1000.0,26.38,1000.0,14.20
22,1805.000,1000.0,25.64,1000.0,13.35
23,1810.000,1000.0,22.64,1000.0,12.47
24,1815.000,1000.0,25.67,1000.0,14.23
25,1820.000,1000.0,26.89,1000.0,14.40
26,1825.000,1000.0,26.82,1000.0,14.24
27,1830.000,1003.3,20.73,1000.0,6.86
28,1835.000,1000.0,25.51,1000.0,13.96
29,1840.000,1000.0,26.63,1000.0,13.98
30,1845.000,1000.0,27.05,1000.0,14.25
31,1850.000,1000.0,26.94,1000.0,14.17
32,1855.000,996.6,21.12,996.6,6.97
33,1860.000,1000.0,26.48,1000.0,14.39
34,1865.000,1000.0,26.92,1000.0,13.77
35,1870.000,1000.0,27.09,1000.0,14.19
36,1875.000,1000.0,27.11,1000.0,14.20
37,1880.000,1000.0,18.63,996.6,4.60
38,1885.000,1000.0,26.95,1000.0,14.46
39,1890.000,1000.0,23.00,1000.0,9.04
40,1895.000,1000.0,27.03,1000.0,14.12
41,1900.000,1000.0,27.10,1000.0,14.04
42,1905.000,1000.0,22.81,996.6,7.82
43,1910.000,990.0,18.73,990.0,5.06
44,1915.000,1000.0,24.99,1000.0,12.19
45,1920.000,1000.0,26.95,1000.0,14.05
46,1925.000,1000.0,26.84,1000.0,14.05
47,1930.000,1000.0,26.55,1000.0,13.96
48,1935.000,1000.0,25.97,1000.0,13.24
49,1940.000,1000.0,27.37,1000.0,12.08
50,1945.000,1000.0,27.11,1000.0,13.37
51,1950.000,1000.0,27.05,1000.0,13.45
52,1955.000,1000.0,27.10,1000.0,13.36
53,1960.000,1006.7,20.77,1006.7,5.75
54,1965.000,1006.7,16.93,996.6,1.71
55,1970.000,1000.0,26.56,1000.0,11.99
56,1975.000,1000.0,27.22,1000.0,13.08
57,1980.000,1000.0,27.15,1000.0,13.22
58,1985.000,1000.0,26.77,1000.0,13.39
59,1990.000,1000.0,25.73,1000.0,12.60
60,1995.000,1000.0,26.00,1000.0,11.76
61,2000.000,1000.0,27.21,1000.0,12.86
62,2005.000,1000.0,27.31,1000.0,12.95
63,2010.000,1000.0,27.26,1000.0,12.97
64,2015.000,1000.0,27.18,1000.0,12.55
65,2020.000,1000.0,26.13,1000.0,12.37
66,2025.000,1000.0,26.76,1000.0,12.88
67,2030.000,1000.0,27.59,1000.0,12.94
68,2035.000,1000.0,27.63,1000.0,12.86
69,2040.000,1000.0,27.56,1000.0,12.81
70,2045.000,1000.0,27.12,1000.0,12.28
71,2050.000,1000.0,26.70,1000.0,12.51
72,2055.000,1000.0,24.72,1000.0,11.51
73,2060.000,1000.0,27.66,1000.0,13.10
74,2065.000,1000.0,27.80,1000.0,12.78
75,2070.000,1000.0,27.91,1000.0,12.71
76,2075.000,1000.0,27.90,1000.0,12.80
77,2080.000,1003.3,16.91,1003.3,0.30
78,2085.000,1003.3,-27.60,1003.3,-38.95
79,2090.000,1000.0,27.15,1000.0,12.39
80,2095.000,1000.0,27.74,1000.0,12.44
81,2100.000,1000.0,27.69,1000.0,12.18
82,2105.000,1000.0,27.62,1000.0,12.13
83,2110.000,1000.0,24.21,1000.0,9.10
84,2115.000,1003.3,21.53,1003.3,5.72
85,2120.000,1000.0,25.03,1000.0,9.59
86,2125.000,1000.0,27.01,1000.0,11.50
87,2130.000,1000.0,27.26,1000.0,11.61
88,2135.000,1000.0,27.05,1000.0,11.38
89,2140.000,1000.0,26.86,1000.0,11.18
90,2145.000,1000.0,18.85,1000.0,3.15
91,2150.000,1063.5,1.47,1063.5,-13.91
92,2155.000,1000.0,26.46,1000.0,10.83
93,2160.000,1000.0,27.15,1000.0,11.38
94,2165.000,1000.0,27.26,1000.0,11.50
95,2170.000,1000.0,27.38,1000.0,11.48
96,2175.000,1000.0,27.26,1000.0,11.59
97,2180.000,1000.0,26.02,1000.0,10.41
98,2185.000,1000.0,24.48,1000.0,10.28
99,2190.000,1050.2,-20.97,1003.3,-31.37
100,2195.000,1000.0,27.44,1000.0,11.75
101,2200.000,1003.3,-19.24,1003.3,-29.07
102,2205.000,1000.0,16.48,1000.0,-1.37
103,2210.000,1000.0,8.19,1000.0,-10.02
104,2215.000,1000.0,28.29,1000.0,12.14
105,2220.000,1000.0,28.39,1000.0,12.31
106,2225.000,1000.0,-6.77,996.6,-21.71
107,2230.000,1000.0,28.52,1000.0,12.35
108,2235.000,996.6,18.06,996.6,3.41
109,2240.000,929.8,-40.98,929.8,-38.70
110,2245.000,996.6,7.93,1000.0,-15.25
111,2250.000,996.6,2.90,996.6,-19.94
112,2255.000,1000.0,28.09,1000.0,11.72
113,2260.000,1000.0,28.52,1000.0,12.30
114,2265.000,996.6,-10.76,1026.7,-33.54
115,2270.000,1000.0,28.31,1000.0,12.36
116,2275.000,1000.0,28.53,1000.0,11.95
117,2280.000,929.8,5.80,933.1,-2.89
118,2285.000,926.4,-20.00,1000.0,-34.32
119,2290.000,1000.0,6.55,1000.0,-12.74
120,2295.000,1000.0,26.11,1000.0,11.81
121,2300.000,1000.0,28.35,1000.0,12.75
