freq_MHz,e_00_real,e_00_imag,e_11_real,e_11_imag,delta_e_real,delta_e_imag
1800.000000,4.5182297741e-02,1.9062321036e-02,-4.8614358826e-02,1.1020534384e-01,-1.7610358462e-01,-1.2264061309e-01
1810.000000,4.1720479784e-02,2.3090209892e-02,-4.5687301051e-03,2.1527059229e-01,-1.4645297161e-01,-1.7020226519e-01
1820.000000,4.3613164004e-02,1.6179723333e-02,-7.8203537787e-02,1.2739570137e-01,-1.6287698176e-01,-1.3573982834e-01
1830.000000,4.0128402334e-02,1.7629822468e-02,-3.3133490465e-02,1.5753956452e-01,-1.6014620260e-01,-1.5984028374e-01
1840.000000,4.0358855387e-02,1.8144736604e-02,-7.1680438956e-02,1.3751872848e-01,-1.3990363514e-01,-1.5573809153e-01
1850.000000,3.7991999767e-02,1.8275656561e-02,-8.3029012403e-02,1.2079839921e-01,-1.2780622072e-01,-1.6007190564e-01
1860.000000,3.7728390863e-02,2.5460350008e-02,-5.8763802057e-02,1.0643086600e-01,-1.0859926435e-01,-1.9465176949e-01
1870.000000,3.5855215673e-02,2.1254312100e-02,-8.5090311404e-02,1.1781756748e-01,-1.0307132152e-01,-1.7848223336e-01
1880.000000,3.5056904140e-02,2.1040718335e-02,-1.8692126936e-01,1.5990841853e-01,-1.0641366234e-01,-1.6762670368e-01
1890.000000,3.4135585676e-02,2.3693443448e-02,-6.8861907939e-02,1.3070608763e-01,-8.0687841546e-02,-2.0626023056e-01
1900.000000,3.1030830279e-02,2.4224264933e-02,-9.0724634148e-02,9.4240616864e-02,-6.6410364034e-02,-2.0759491206e-01
1920.000000,2.8337913820e-02,2.6760679609e-02,-1.0766076090e-01,1.0874351381e-01,-4.0181755929e-02,-2.1595919404e-01
1930.000000,2.9704392924e-02,2.6079404263e-02,-1.3262598242e-01,9.9544927139e-02,-2.5980092238e-02,-2.1417510609e-01
1940.000000,2.2282433869e-02,2.0727807669e-02,-2.8411285183e-01,7.5882381992e-02,-1.3804818582e-02,-1.6390197441e-01
1950.000000,2.3043389886e-02,2.4561468507e-02,-1.3191086600e-01,1.1260918416e-01,7.7997707285e-03,-2.1082791863e-01
1960.000000,2.3413256489e-02,2.1364885995e-02,-2.4302029872e-01,4.0897874362e-02,-3.8296367986e-03,-2.2877661617e-01
1970.000000,2.0280923341e-02,1.9714503609e-02,-1.2711827218e-01,1.7577468186e-01,5.1956438228e-02,-1.8998994016e-01
1980.000000,1.7395396190e-02,2.0801139110e-02,-1.2477857207e-01,1.2332985839e-01,6.5308505136e-02,-1.9960854868e-01
1990.000000,1.2013906984e-02,2.2733398926e-02,-1.1731537001e-01,1.1236444570e-01,1.1216766386e-01,-2.1553151603e-01
2000.000000,1.2977077281e-02,1.7779228520e-02,-1.2981525487e-01,1.3352223859e-01,9.9380518068e-02,-1.8478045404e-01
2010.000000,1.2474270291e-02,1.8097909687e-02,-1.1654668218e-01,1.2929982810e-01,1.0972755046e-01,-1.7685226707e-01
2020.000000,8.1907719448e-03,1.6623638203e-02,-1.3561891665e-01,8.7160887126e-02,1.4844066617e-01,-1.5888803019e-01
2030.000000,8.6674163264e-03,1.4422636595e-02,-1.2777063627e-01,1.1374097052e-01,1.3239798208e-01,-1.5624484973e-01
2040.000000,7.4532354412e-03,1.3906266803e-02,-1.3550572782e-01,1.1330610666e-01,1.4479951018e-01,-1.4531598147e-01
2050.000000,4.6284266989e-03,1.3706218986e-02,-1.4358391821e-01,9.5695225321e-02,1.6941808744e-01,-1.1861720003e-01
2060.000000,3.9527733875e-03,1.3620536012e-02,-1.4136763872e-01,9.9633860958e-02,1.6580843108e-01,-1.1964721932e-01
2070.000000,4.5561265213e-03,1.1792600313e-02,-1.4593058727e-01,9.9912033000e-02,1.6649016137e-01,-1.0695246161e-01
2080.000000,-1.6510408875e-02,-4.0339915217e-04,-1.5622940642e-01,2.8359068863e-01,1.6655626831e-01,-4.8814760486e-02
2090.000000,3.2181406959e-03,1.1051230006e-02,-1.6251277745e-01,9.1943456587e-02,1.9088290140e-01,-8.3757986549e-02
2100.000000,2.8333315233e-03,7.7861676646e-03,-1.6187127041e-01,9.9084522415e-02,1.8417800633e-01,-7.1017186488e-02
2110.000000,1.4683709360e-03,5.0692290105e-03,-1.4366395035e-01,1.0715381675e-01,1.8337319438e-01,-5.6231832410e-02
2120.000000,1.5180702840e-03,4.4726193350e-03,-1.9989718375e-01,1.0890158738e-01,2.0349547556e-01,-5.0769465695e-02
2130.000000,1.1263081324e-03,2.3945432037e-03,-1.8905886628e-01,1.0063753937e-01,1.9517536490e-01,-3.0450306315e-02
2140.000000,3.3552387897e-05,-1.0461660420e-04,-1.9064560116e-01,1.0800396478e-01,1.9660576772e-01,-1.4017391563e-02
2160.000000,2.0908712527e-04,-5.3218718062e-03,-1.9552457181e-01,9.9456540359e-02,1.9406479570e-01,1.8688428443e-02
2170.000000,3.7425026776e-04,-7.5211487181e-03,-1.9661481125e-01,9.1341349482e-02,1.8995027797e-01,3.3766089071e-02
2180.000000,8.8989443338e-05,-9.6257567829e-03,-1.8372913503e-01,8.9516847264e-02,1.8906605630e-01,5.0638823493e-02
2190.000000,2.5610205271e-01,5.7612572535e-02,5.3109578845e-01,7.6966416244e-01,3.1080792377e-01,-1.0225726727e-01
2200.000000,-3.9566007764e-02,-2.5052266271e-02,-6.5254875201e-01,7.3804062577e-02,1.2000648186e-01,5.4715154976e-02
