Frecuencia (MHz),Estado
200.000000,Unlocked
204.000000,Unlocked
208.000000,Unlocked
212.000000,Unlocked
221.000000,Unlocked
256.000000,Unlocked
260.000000,Unlocked
285.000000,Unlocked
320.000000,Unlocked
353.000000,Unlocked
359.000000,Unlocked
365.000000,Unlocked
371.000000,Unlocked
372.000000,Unlocked
378.000000,Unlocked
385.000000,Unlocked
392.000000,Unlocked
400.000000,Unlocked
408.000000,Unlocked
416.000000,Unlocked
424.000000,Unlocked
433.000000,Unlocked
512.000000,Unlocked
559.000000,Unlocked
570.000000,Unlocked
581.000000,Unlocked
640.000000,Unlocked
678.000000,Unlocked
705.000000,Unlocked
706.000000,Unlocked
707.000000,Unlocked
717.000000,Unlocked
718.000000,Unlocked
730.000000,Unlocked
731.000000,Unlocked
742.000000,Unlocked
743.000000,Unlocked
744.000000,Unlocked
756.000000,Unlocked
757.000000,Unlocked
770.000000,Unlocked
771.000000,Unlocked
784.000000,Unlocked
785.000000,Unlocked
799.000000,Unlocked
800.000000,Unlocked
815.000000,Unlocked
816.000000,Unlocked
831.000000,Unlocked
832.000000,Unlocked
848.000000,Unlocked
849.000000,Unlocked
865.000000,Unlocked
866.000000,Unlocked
883.000000,Unlocked
927.000000,Unlocked
1009.000000,Unlocked
1024.000000,Unlocked
1118.000000,Unlocked
1119.000000,Unlocked
1140.000000,Unlocked
1162.000000,Unlocked
1185.000000,Unlocked
1280.000000,Unlocked
1304.000000,Unlocked
1356.000000,Unlocked
1383.000000,Unlocked
1410.000000,Unlocked
1411.000000,Unlocked
1412.000000,Unlocked
1413.000000,Unlocked
1414.000000,Unlocked
1434.000000,Unlocked
1435.000000,Unlocked
1436.000000,Unlocked
1437.000000,Unlocked
1459.000000,Unlocked
1460.000000,Unlocked
1461.000000,Unlocked
1462.000000,Unlocked
1484.000000,Unlocked
1485.000000,Unlocked
1486.000000,Unlocked
1487.000000,Unlocked
1488.000000,Unlocked
1511.000000,Unlocked
1512.000000,Unlocked
1513.000000,Unlocked
1514.000000,Unlocked
1515.000000,Unlocked
1539.000000,Unlocked
1540.000000,Unlocked
1541.000000,Unlocked
1542.000000,Unlocked
1543.000000,Unlocked
1568.000000,Unlocked
1569.000000,Unlocked
1570.000000,Unlocked
1571.000000,Unlocked
1598.000000,Unlocked
1599.000000,Unlocked
1600.000000,Unlocked
1601.000000,Unlocked
1629.000000,Unlocked
1630.000000,Unlocked
1631.000000,Unlocked
1632.000000,Unlocked
1633.000000,Unlocked
1662.000000,Unlocked
1663.000000,Unlocked
1664.000000,Unlocked
1665.000000,Unlocked
1696.000000,Unlocked
1697.000000,Unlocked
1698.000000,Unlocked
1730.000000,Unlocked
1731.000000,Unlocked
1732.000000,Unlocked
1766.000000,Unlocked
1767.000000,Unlocked
1803.000000,Unlocked
1829.000000,Unlocked
1854.000000,Unlocked
2018.000000,Unlocked
2235.000000,Unlocked
2236.000000,Unlocked
2237.000000,Unlocked
2238.000000,Unlocked
2279.000000,Unlocked
2280.000000,Unlocked
2281.000000,Unlocked
2324.000000,Unlocked
2325.000000,Unlocked
2370.000000,Unlocked
2463.000000,Unlocked
