Frecuencia (MHz),Estado
216.000000,Unlocked
217.000000,Unlocked
226.000000,Unlocked
280.000000,Unlocked
291.000000,Unlocked
347.000000,Unlocked
354.000000,Unlocked
360.000000,Unlocked
366.000000,Unlocked
372.000000,Unlocked
379.000000,Unlocked
386.000000,Unlocked
393.000000,Unlocked
401.000000,Unlocked
409.000000,Unlocked
417.000000,Unlocked
425.000000,Unlocked
434.000000,Unlocked
443.000000,Unlocked
452.000000,Unlocked
560.000000,Unlocked
571.000000,Unlocked
582.000000,Unlocked
617.000000,Unlocked
694.000000,Unlocked
708.000000,Unlocked
719.000000,Unlocked
720.000000,Unlocked
731.000000,Unlocked
732.000000,Unlocked
744.000000,Unlocked
745.000000,Unlocked
757.000000,Unlocked
758.000000,Unlocked
759.000000,Unlocked
771.000000,Unlocked
772.000000,Unlocked
773.000000,Unlocked
786.000000,Unlocked
787.000000,Unlocked
801.000000,Unlocked
802.000000,Unlocked
817.000000,Unlocked
818.000000,Unlocked
833.000000,Unlocked
834.000000,Unlocked
850.000000,Unlocked
851.000000,Unlocked
867.000000,Unlocked
868.000000,Unlocked
886.000000,Unlocked
904.000000,Unlocked
929.000000,Unlocked
955.000000,Unlocked
1075.000000,Unlocked
1120.000000,Unlocked
1142.000000,Unlocked
1164.000000,Unlocked
1187.000000,Unlocked
1234.000000,Unlocked
1283.000000,Unlocked
1333.000000,Unlocked
1388.000000,Unlocked
1415.000000,Unlocked
1416.000000,Unlocked
1437.000000,Unlocked
1438.000000,Unlocked
1439.000000,Unlocked
1440.000000,Unlocked
1462.000000,Unlocked
1463.000000,Unlocked
1464.000000,Unlocked
1465.000000,Unlocked
1487.000000,Unlocked
1488.000000,Unlocked
1489.000000,Unlocked
1490.000000,Unlocked
1491.000000,Unlocked
1514.000000,Unlocked
1515.000000,Unlocked
1516.000000,Unlocked
1517.000000,Unlocked
1518.000000,Unlocked
1542.000000,Unlocked
1543.000000,Unlocked
1544.000000,Unlocked
1545.000000,Unlocked
1546.000000,Unlocked
1572.000000,Unlocked
1573.000000,Unlocked
1574.000000,Unlocked
1575.000000,Unlocked
1602.000000,Unlocked
1603.000000,Unlocked
1604.000000,Unlocked
1605.000000,Unlocked
1633.000000,Unlocked
1634.000000,Unlocked
1635.000000,Unlocked
1636.000000,Unlocked
1666.000000,Unlocked
1667.000000,Unlocked
1668.000000,Unlocked
1669.000000,Unlocked
1700.000000,Unlocked
1701.000000,Unlocked
1702.000000,Unlocked
1734.000000,Unlocked
1735.000000,Unlocked
1736.000000,Unlocked
1771.000000,Unlocked
1772.000000,Unlocked
1833.000000,Unlocked
1858.000000,Unlocked
1910.000000,Unlocked
1937.000000,Unlocked
2150.000000,Unlocked
2239.000000,Unlocked
2240.000000,Unlocked
2241.000000,Unlocked
2283.000000,Unlocked
2284.000000,Unlocked
2327.000000,Unlocked
2328.000000,Unlocked
2329.000000,Unlocked
2374.000000,Unlocked
2421.000000,Unlocked
